Year,Month,State,usage
2021,9,KY,6277007.4
2021,9,LA,7896165.5
2021,9,MA,4613432.1
2021,9,MD,4816125.9
2021,9,ME,1035831.8
2021,9,MI,8100773.3
2021,9,MN,5273072.4
2021,9,MO,6737526.1
2021,9,MS,4492005.6
2021,9,MT,1116409.5
2021,9,NC,11890966
2021,9,ND,1719993.4
2021,9,NE,2727100.1
2021,9,NH,901690.51
2021,9,NJ,6096950.2
2021,9,NM,2310962.7
2021,9,NV,3724744.8
2021,9,NY,12981077
2021,9,OH,12228560
2021,9,OK,6027735.3
2021,9,OR,4134206.5
2021,9,PA,11992978
2021,9,RI,628401.83
2021,9,SC,6955347
2021,9,SD,1055076.4
2021,9,TN,9102767.9
2021,9,TX,42869909
2021,9,UT,2801017.5
2021,9,VA,10387752
2021,9,VT,429121.04
2021,9,WA,6506364.7
2021,9,WI,5619738.3
2021,9,WV,2499630.7
2021,9,WY,1236579.1
2021,8,AK,459765.6
2021,8,AL,8514317.2
2021,8,AR,4952040.1
2021,8,AZ,9117939.5
2021,8,CA,26005664
2021,8,CO,5609946.1
2021,8,CT,2973433.7
2021,8,DC,1038118
2021,8,DE,1168274
2021,8,FL,24617014
2021,8,GA,13992213
2021,8,HI,817318.41
2021,8,IA,4945255.7
2021,8,ID,2407558.6
2021,8,IL,13959618
2021,8,IN,9803720.8
2021,8,KS,4286055.5
2021,8,KY,7248838.1
2021,8,LA,9096543.3
2021,8,MA,5027784.1
2021,8,MD,5989128.6
2021,8,ME,1017063.7
2021,8,MI,10135906
2021,8,MN,6236422.2
2021,8,MO,7913332.5
2021,8,MS,4825636.7
2021,8,MT,1313112.5
2021,8,NC,13872638
2021,8,ND,1893560.5
2021,8,NE,3274927.6
2021,8,NH,1068327.6
2021,8,NJ,8024535.9
2021,8,NM,2477861.9
2021,8,NV,4403418
2021,8,NY,13987327
2021,8,OH,14543175
2021,8,OK,6758494.5
2021,8,OR,4752609.8
2021,8,PA,13756308
2021,8,RI,792154.9
2021,8,SC,8098266
2021,8,SD,1214768.3
2021,8,TN,9901091.3
2021,8,TX,44667906
2021,8,UT,3192478.1
2021,8,VA,12157392
2021,8,VT,505841.81
2021,8,WA,7232006.9
2021,8,WI,6756832
2021,8,WV,2910152.5
2021,8,WY,1325209.4
2021,7,AK,453861.3
2021,7,AL,8211340.6
2021,7,AR,4731256.1
2021,7,AZ,9208129
2021,7,CA,26068019
2021,7,CO,5625176
2021,7,CT,2521692.7
2021,7,DC,1048078.1
2021,7,DE,1180763
2021,7,FL,23857146
2021,7,GA,13649781
2021,7,HI,802983.21
2021,7,IA,4882538.9
2021,7,ID,2867049.2
2021,7,IL,13256994
2021,7,IN,9300612.4
2021,7,KS,4067276.6
2021,7,KY,6998021.4
2021,7,LA,8715618.1
2021,7,MA,4769086.3
2021,7,MD,5980915.7
2021,7,ME,1005659.5
2021,7,MI,9515997.8
2021,7,MN,6293224.5
2021,7,MO,7648514.5
2021,7,MS,4679271.3
2021,7,MT,1360849.2
2021,7,NC,13349021
2021,7,ND,1914159.6
2021,7,NE,3230739
2021,7,NH,987671.25
2021,7,NJ,7886149.7
2021,7,NM,2482960.3
2021,7,NV,4664472.8
2021,7,NY,13922264
2021,7,OH,13955644
2021,7,OK,6537836.6
2021,7,OR,4818216
2021,7,PA,13416044
2021,7,RI,729601.14
2021,7,SC,8105320.6
2021,7,SD,1194081.6
2021,7,TN,9539647.3
2021,7,TX,44320085
2021,7,UT,3473060.9
2021,7,VA,12257642
2021,7,VT,467024.42
2021,7,WA,7172779.7
2021,7,WI,6552003.7
2021,7,WV,2876723.5
2021,7,WY,1395295.5
2021,6,AK,440162.52
2021,6,AL,7504199.4
2021,6,AR,4091862.8
2021,6,AZ,8774780.9
2021,6,CA,22391081
2021,6,CO,4976110.1
2021,6,CT,2569231.8
2021,6,DC,877855.19
2021,6,DE,1034490.5
2021,6,FL,22220705
2021,6,GA,12314575
2021,6,HI,755199
2021,6,IA,4647256.1
2021,6,ID,2679488.7
2021,6,IL,12446820
2021,6,IN,8654222.3
2021,6,KS,3715825.1
2021,6,KY,6423339.4
2021,6,LA,8083108.8
2021,6,MA,4486888.1
2021,6,MD,5326422.1
2021,6,ME,964079.27
2021,6,MI,9107468.9
2021,6,MN,5955148.4
2021,6,MO,6907259.3
2021,6,MS,4146300.3
2021,6,MT,1220199.1
2021,6,NC,11657879
2021,6,ND,1813249.3
2021,6,NE,2898434
2021,6,NH,965788.94
2021,6,NJ,6917351.3
2021,6,NM,2312043.1
2021,6,NV,4075649.3
2021,6,NY,12077341
2021,6,OH,12798338
2021,6,OK,5917215.1
2021,6,OR,4540097.5
2021,6,PA,11893629
2021,6,RI,688978.13
2021,6,SC,7021872
2021,6,SD,1097744.3
2021,6,TN,8367943.7
2021,6,TX,39106081
2021,6,UT,3189211.7
2021,6,VA,10820101
2021,6,VT,448428.44
2021,6,WA,6980100.6
2021,6,WI,6202284.1
2021,6,WV,2616253.4
2021,6,WY,1295286.3
2021,5,AK,461049.36
2021,5,AL,6590696.4
2021,5,AR,3534746.8
2021,5,AZ,6841874.2
2021,5,CA,18604994
2021,5,CO,4426350.4
2021,5,CT,2012432.2
2021,5,DC,804259.98
2021,5,DE,842088.83
2021,5,FL,20358424
2021,5,GA,10677288
2021,5,HI,753356.32
2021,5,IA,4015893.2
2021,5,ID,2047615.1
2021,5,IL,10123052
2021,5,IN,7781618.8
2021,5,KS,3018380
2021,5,KY,5621862.3
2021,5,LA,7069891.4
2021,5,MA,3667648.5
2021,5,MD,4282458.6
2021,5,ME,857372.74
2021,5,MI,7758755.7
2021,5,MN,5115385.7
2021,5,MO,5475874.9
2021,5,MS,3613488.4
2021,5,MT,1103197.8
2021,5,NC,10041185
2021,5,ND,1737456.1
2021,5,NE,2373077.8
2021,5,NH,801779.43
2021,5,NJ,5468592.3
2021,5,NM,2014574
2021,5,NV,3193207.2
2021,5,NY,10004436
2021,5,OH,11414210
2021,5,OK,4866733.5
2021,5,OR,4151967.7
2021,5,PA,10603076
2021,5,RI,540087.31
2021,5,SC,6258068.1
2021,5,SD,946469.66
2021,5,TN,7105535.2
2021,5,TX,33287942
2021,5,UT,2542775.1
2021,5,VA,9303586.1
2021,5,VT,407997.97
2021,5,WA,6477799.2
2021,5,WI,5312735.2
2021,5,WV,2508854.1
2021,5,WY,1238402.7
2021,4,AK,484941.42
2021,4,AL,6161024
2021,4,AR,3417299.5
2021,4,AZ,5782418.2
2021,4,CA,15304451
2021,4,CO,4236407.6
2021,4,CT,1922726.9
2021,4,DC,687942.15
2021,4,DE,802787.75
2021,4,FL,18002298
2021,4,GA,9741461.9
2021,4,HI,691566.35
2021,4,IA,3919643
2021,4,ID,1856211.4
2021,4,IL,9391618
2021,4,IN,7327325.2
2021,4,KS,2720342.2
2021,4,KY,5381810.9
2021,4,LA,6822435.9
2021,4,MA,3721451.4
2021,4,MD,3943615.4
2021,4,ME,966962.04
2021,4,MI,7245525
2021,4,MN,4907836.6
2021,4,MO,5329076.5
2021,4,MS,3412493.7
2021,4,MT,1190597.2
2021,4,NC,9730680.4
2021,4,ND,1804710.2
2021,4,NE,2263176.6
2021,4,NH,788939.04
2021,4,NJ,4950401.9
2021,4,NM,1866862.1
2021,4,NV,2703569.2
2021,4,NY,10225393
2021,4,OH,10773258
2021,4,OK,4494015.9
2021,4,OR,4125725.6
2021,4,PA,10368166
2021,4,RI,520437.11
2021,4,SC,5750950.9
2021,4,SD,986044.33
2021,4,TN,7095040
2021,4,TX,31813373
2021,4,UT,2308891.3
2021,4,VA,8627667.8
2021,4,VT,403983.08
2021,4,WA,7005745.9
2021,4,WI,5094840
2021,4,WV,2458411.2
2021,4,WY,1246145.3
2021,3,AK,544335.55
2021,3,AL,6634892.7
2021,3,AR,3837479.5
2021,3,AZ,5390503.5
2021,3,CA,21151142
2021,3,CO,4457212.1
2021,3,CT,2165249.1
2021,3,DC,748928.2
2021,3,DE,900241.47
2021,3,FL,17989946
2021,3,GA,10418330
2021,3,HI,704368.84
2021,3,IA,4302405.8
2021,3,ID,1846089
2021,3,IL,10395072
2021,3,IN,7916359.6
2021,3,KS,2939579.8
2021,3,KY,5839964.8
2021,3,LA,6960760.9
2021,3,MA,4005515.2
2021,3,MD,4611308
2021,3,ME,998574.18
